这么急啊[惊喜]反正我知道你的评论留不了多久哈哈	要不您这边给我友情赞助两千块？我给您做个绝育[好奇]，再做个碎蛋der手术	1	0	1
哈哈哈，那你跟你爹妈过去吧，别出来霍霍人	我是不知道为什么现在还有人能说出结婚是两个人的事情，而不是两个家庭的事情，这种一看就幼稚的不行的话	1	0	1
那就是没关系呀[惊喜]	[为难]？？您从哪看出来彩礼两个字的	1	0	1
叔叔，能不能介绍一下女儿，我今年21读研，考虑一哈	这评论，我怎么感觉都是我上辈人在知乎。我42，我觉得现代的年轻人就应该是这种想法才对。我就跟我女儿说，以后别提什么彩礼，感觉特别过时，我养你长大是希望你能独立自主，能自由翱翔，能好好感受这世界，知道自己想要的生活。我养你20年这是我的付出，也是我的责任，这不需要任何回报。唯一的回报就是你能过上自己想要的生活。老了也不需要你来赡养，把自己顾好就行。婚姻是这个世界上最难的事情之一，它需要好好经营，它就是两个人的事情，找到能幸福过一生的人真的很难，所以不要再有一些世俗的观念来给它负担。这年轻人我感觉才应该是当代年轻人该有的样子，可看评论觉得回到了旧社会的老农村。	1	1	0
人家天作之合轮得到你这个说三道四？[尴尬]	怪不得你老婆好悲哀	0	0	1
同意。我是赞同小家庭过好就行的，但也说不出结婚是两个人的事这种话。有人还说我们急了。这位弟弟也就刚成年吧我们急什么…我把这篇回答给我男朋友看，他都对那句“张口就是二十万零花钱”感到困惑。虽然我们这边没有彩礼一说，但是把彩礼等同为女方的零花钱也是第一次见。还是有正常男人的，单身姐妹也别放弃希望。遇到喷子可以看他知乎首页，多半除了男女对立的内容没别的什么有价值的东西了，不用浪费时间。	我是不知道为什么现在还有人能说出结婚是两个人的事情，而不是两个家庭的事情，这种一看就幼稚的不行的话	0	0	0
娶了你才是悲哀[尴尬]	怪不得你老婆好悲哀	0	0	1
他说这些又没有根你结婚，他说他自己而已。管得真宽。别回我回我就是急了	我是不知道为什么现在还有人能说出结婚是两个人的事情，而不是两个家庭的事情，这种一看就幼稚的不行的话	0	0	1
一般都是??两个图搭着用，就比较好理解	这个?是啥意思[思考]	0	1	1
[飙泪笑][飙泪笑]操心啥？都尼玛老阿姨[飙泪笑]	彩礼跟我们当然没毛线关系，你们也别操心，毕竟也都是找不着对象的才来这吹彩礼不给的言论。	0	0	1
当代凯恩斯[赞][惊喜]	经济下行后女权就是个笑话[惊喜]	1	0	0
只有不卖的鸡才能卖出最高的价格，懂？	慌了，慌了，小仙女慌了[惊喜]仙女们不是都不结婚的吗，彩礼和你们有啥关系[飙泪笑]	0	0	1
嗯，你说的有道理	你也该体谅体谅，毕竟是00的，年龄在这，想法还不成熟，谁没结婚前还不是都觉得结婚是两个人的事啊，经一事长一智，只有经历过才知道其中的奥妙。要不然怎么会有每个年龄阶段的想法都不尽相同这句话。	1	0	0
我觉得我之前的语气还算不错，大家都是在理智的讨论自己的观点，你还整上人身攻击了，真是……	凭什么你觉得没多少钱了就要全世界都认为你看不起的金额就不值一提呢？你谁啊？这么大脸，而且就服你这种看问题找不到重点的人，这跟你认为的钱多钱少有什么关系？这就是一个自由支配财产的问题，你凭什么指责别人合法的支配自己的财产？	0	0	1
你不结婚关注这话题干啥？[飙泪笑]我要是不打算结婚，怕不是这类话题点都不想点开吧[飙泪笑]	结婚干嘛，不结婚挺好的，没有彩礼，没有经济纠纷。一人吃饱，全家不饿。	0	0	1
我觉得没必要说这些愿意给的男的自然会给不愿意给的女生看不惯那就不结总会铁锅配铁盖的…总的来说彩礼就是你情我愿的事情不情愿的最后也谈崩了	凭什么？搞得好像生孩子就是男的逼迫的一样？要是女的想生孩子男的被迫那是不是女的要给男的钱？	0	0	1
啊？什么意思？	这两点一点都不对等，甚至差了好远。也就是现在女性受教育程度高了，就没以前那么好糊弄了。希望你能懂。	0	0	1
小孩有义务照顾护工吗[惊喜]	[飙泪笑]白送的几百块钱让女方给你生儿育女照顾一大家子？护工都比你这舒服	1	0	1
但是你聊着聊着，就扯到买房上去了，你说你结婚了，请问你的爱人是否先买了一套房，如果是，请问，没这个房，你还会不会结这个婚？或者按你说的，买不起就不结，换一个结？	。。。不知道你在说什么，如果你因为觉得用了父母的?你就没有话语权，那我只能说你从小到大欠太多了，你永远没有话语权。在我父母面前我永远是他们的孩子，但我和我爱人是我们俩自己的生活，不会因为我父母出钱了或者怎么样了，影响我们的生活，我们本身就不会和父母住。我没有你想的这么多，我也不好否认你这种因为经济影响话语权的情况出现的可能性。但即使你这种情况准备自己买房子，结婚也仍然是两个家庭的事情，因为你在某些方面你仍然要依靠你的父母。即使你现在立马中了五千万彩票，你的父母和她的父母也仍然是你们往后生活里回避不了的一环，所以钱不钱的其实是其次，但你们原生家庭带给你们的影响，让你成为什么样的人，以及以后都不可能会和原生家庭脱离关系，这才是我说为什么婚姻是两个家庭的事	0	0	1
我不知道还有多少这样的女生，但我觉得正常的女生还是很多的，但知乎上男人说的好像中国要彩礼的女生都这样。靠着结婚帮家里很正常，但是我觉得既然结婚了如果日子是越过越好的帮帮无所谓，但是要一碗水端平，帮了女方，男方也不能少，总不能挖东墙补西墙，把男方父母的钱补贴女方父母，也不能拿女方父母的补贴男方。要么双方父母和小夫妻一起努力，日子越过越好，要么家里靠不上，就两人一起努力过好。彩礼无非是一个形式，大多数人贩卖婚姻焦虑，导致大家都很浮躁了。彩礼就算是放在十年前，谁反对？你愿意给就愿意，不愿意就算了，日子也是自己过出来的，又不是给点彩礼你就好像亏大发了，也不是说收点彩礼你就发财了。	[飙泪笑]所以啊，好多男的以为女的图他家那点彩礼，其实大部分女孩都是想有个态度，还会带着不会差太多的陪嫁回去，有的甚至一定要比彩礼多些。只不过这个社会是有比较偏远地方的女孩子，她们出来不容易，想靠着结婚帮家里也带翻身，甚至想着压榨自己的老公，让自己回报父母。咋说呢，我很不喜欢这样的女孩子，但她们从小听到的，接触到的都是这样的话，就是她们所有的一切，都是家里的功劳，跟她们自身的努力和优秀是没有关系的，大概类似这样的。结了婚了，可能又会说，你不从你老公那里多捞点，人家不心疼你，在你身上花的越多，才会越心疼，越不会离开你！之类的话，就让明明挺优秀的姑娘，变的很奇怪了我真的是觉得，结了婚，还是应该夫妻一起去双方的父母家里，不要各自单独去，谁知道有些奇葩亲戚会怎么在你父母面前嚼舌根！永远相信，亲戚希望你过的好，是比她差以下过得好，你一旦比她过得好了，那就不行了[飙泪笑][飙泪笑]希望女孩子们的思想都能独立起来吧，不要家里亲戚父母说什么就觉得都对，你没脑子的吗？自己小家庭过不好，你怎么可能过得好[微笑]不作不会死[微笑][微笑]	0	0	1
这么好的条件，换做是我入赘算了，别说十万彩礼，二十万我都愿意哈哈哈哈哈哈。我有个姑姑家庭条件不是很好，然而姑父家庭条件很好，也是山东人哈哈哈，在工作的城市买了房子是两人名字；两人自由恋爱，我姑要了五万彩礼，没有什么陪嫁，喜酒什么的也是姑父家主办的，婚后我姑在家带娃，因为姑姑家里是两个姐妹没有兄弟，娃现在和我姑一个户口。现在她妈妈老家拆迁获得了三套拆迁房，两个人越来越好了。反正婚姻这种事谁也说不准，双方家庭都是有得有失的，但是最主要的目的夫妻两人越过越好。	我身边也有家里有钱的女生，家里当时想要十万左右彩礼，陪嫁五十万嫁妆和一辆宝马，房子也不用男方家买，自己家六七套房子挑一套住就行，还不要求男方家入赘，就是正常嫁娶。后来男方家也还是给了31800的彩礼，女生自己说不要五十万嫁妆了，就要十万。说白了有些家里有钱的女方要求彩礼高一点不过是想借着由头多给小两口添点嫁妆罢了，结果男方还不领情。。。	0	0	1
大型国女规训破防现场[飙泪笑]	“女方家族的葬礼我可以撰写悼词，但保留不出席的权利。我也会让将来的妻子这样要求我”这句话就很好笑了，越看越好笑。	1	1	1
我也觉得好搞笑，他把别人的回答全都一个个翻出来，换着花样骂[流泪]我说一句“结婚是两个家庭的事，不是两个人的事”真不知道有什么问题，多少男的评论骂我的，私信喷我的，去我的回答底下骂街的，还好还有一个男的认同，都快恐知乎男了。感觉他们都戾气很重	这个“没问题”去把所有人的别的回答都贴在这里，他好搞笑[捂脸][捂脸]是在找论证吗，难道这是他的论文课题，学习能有这么认真说不定清华都够不上他的格，工作能有这么认真，不怕赚不到钱给彩礼了[捂脸]	0	1	0
要饭的是吧	我是不知道为什么现在还有人能说出结婚是两个人的事情，而不是两个家庭的事情，这种一看就幼稚的不行的话	0	0	1
绝了，这都行[捂脸]	批[捂脸]	1	1	1
那你的成年独立就不是真正的独立呀，你仍然需要你父母提供帮助，真正的独立是你能独自处理好你的问题，并且提供你父母帮助不是吗？就像你说的是两个人的事，但你们很多仍然需要原生家庭的帮助，只要仍需要原生家庭的帮助，那你们就必然要牵涉到原生家庭。父母当然不该干涉新家庭的决策，但是你只要需要双方原生家庭的关系网，或者你的原生家庭需要你的关系网，这结婚就必然是两个家庭的事情。	我都说了，婚姻是两个人的事不等同于跟父母断绝关系啊，我们俩只是对这个概念的理解不同。我没说结婚以后父母就不是父母了，能帮助当然也会帮助，我的意思是双方父母不要干涉两个人（一个新家庭），双方不应该在结婚前后不断牵涉自己的原生家庭，而应该让这个新家庭保持独立。就像你说我成年了之后要独立，难道等同于不接受父母的帮助，甚至跟父母断绝关系吗？肯定不是呀，而是我自己的事情由自己做主，父母也可以给建议给帮助，但核心是自己。你说的这个就不是独立，怕是要断绝关系了。	1	0	1
看来00后啃老是理直气壮的了，我70后，别说结婚了，我上大学学费都是先欠着毕业后自己挣工资还的。至于房子车子什么的更不用说了。我结婚的时候根本没征求我妈的意见，领完证才带老婆回去过了几天。我爸那边就更不用说了，他死的时候我刚上初中。	我也00后，不过你这想法也太他妈幼稚了吧，别的不说，结婚就是两个家庭的事情…双方父母不同意不支持不给资助那也活的太困难了吧	0	0	1
不给彩礼不很成熟吗[飙泪笑]你们国女的钱不也是都自己花[惊喜]	谁要改变他思想的，不是说他幼稚吗？我又没说一定要给彩礼，只是那两个人，与双方父母无关，还有共同养看，家务分配不都应该考虑到吗？[尴尬][尴尬]	0	0	1
曹县都是一线了，您还在二线呢？房价不低又怎么样？是你买的吗？你能做主吗？还是说你在等你父母升天了才能继承啊？还是说这些都是你可怜兮兮编的呀[可怜]	目前在二线城市哈，不好意思呢。两套房?两套别墅，小区房价都不低[大笑]还有哦，您的背景抠图太假了，如果需要的话，我可以帮您p[大笑]	0	0	1
你的回答很有意思，不过人口贩卖可是违法的	旋转肉陀螺不知道了吧，现在的女性知道靠男人不靠谱，纷纷自己买了房子，给了自己一份保障，有的肉陀螺还真以为现在的女性和以前一样只能靠男人生存中国的生育率是1.3比正常标准低多了，为什么，因为女的怕了，怕生孩子，怕嫁出去面对难搞的婆媳关系。中国14亿人有三千万光棍，为什么，原因之一因为有的肉陀螺一大把年纪还在计较彩礼。更像你这个肉陀螺，一方面说现在的女人担不起贤良淑德，一方面天天在知乎转发擦边图，没女人只能看这些自wei吧[捂嘴]	0	0	1
我是一个女生，我明确宣布，彩礼都不想给的，一律免谈[白眼]	结婚干嘛，不结婚挺好的，没有彩礼，没有经济纠纷。一人吃饱，全家不饿。	0	0	1
明天姨就包两个00后给你开开眼	这位老阿姨，00后不会找你的，你年纪太大了。	1	0	1
你的来往就是要钱	自己和老婆住也是两个家庭的事啊，和原生家庭永不往来了？	0	0	1
其实无所谓，别的地方有彩礼的很多也有陪嫁。坐标山东，山东这边都是有来有往吧基本，其他地方不清楚了	北京可没彩礼几万都没有有的新房都没有跟父母一块住上门提亲就烟酒茶糖点心谁要张嘴要彩礼谁会被看不起郊区有的有也是男方出9999女方出10001图个喜庆	0	0	1
自然数记分简直无法形容你优秀的理解力，得用科学计数法[捂嘴]	两个家庭的意思就是男方家庭要给女方家庭20万的彩礼，你看我这个理解是不是满分[思考]	0	0	1
对啊，男女不平等就是从生孩子开始的，只要不生孩子，彩礼不用，房子车子全部平等出资	那如果男人不生孩子是不是就不用给彩礼？	0	0	1
[大笑]你肯定很有钱	评论里有个小姐姐超级刚，晒自己的余额和工资。评论里那些男的就不敢呀[捂嘴][捂嘴]	1	1	1
我也觉得是境外势力和它们国内的下线。	00后大学男生，仅仅说明了自己不接受彩礼，全文没有一句脏话、粗话。然后就被刷了几千条（你没看错是几千条）辱骂、攻击评论，最近上百条还都是北京时间凌晨2—3点的………哥们，你碰到的可能是境外势力[飙泪笑][飙泪笑][飙泪笑]	0	0	0
阿这。。。。夜猫子女孩被这句冒犯到了骂女权干嘛扯睡眠时间啊。。。。[尴尬]	我记得凌晨一两点左右是我们这边KTV酒吧的下班时间	0	1	1
讨论问题，不需要人身攻击吧[思考]	反正你这种女的，谁遇到谁倒霉[尴尬]	1	0	1
这二者都和父母有关系啊，一个是你帮父母，一个是父母帮你	赡养父母和借用父母关系去得到所需之物是一回事?	1	0	1
作为父母你太明智了，一场婚礼男方得付出多少，彩礼除外，各种置办婚礼费用，现在还要求男方有车有房，各种餐费，住宿费，主持人劳务费等等等等，本来就很折腾，这所有的费用还不是得婚后两个人一起来负担，借的钱还不是一样要还，我们那不少父母嫁女儿后把收到的彩礼一份不用的交给新的小家，这才是明知的父母。彩礼始终是一场恶习，给婚后的小家庭带来多少负担。正常家庭，婚后的责任大家都一起承担，在生儿育女上，生理结构不同导致女性会付出更多，但是男人和所有的双方家庭都要尽力这种代价降到最小，给女方多些照顾，多些体量。	这评论，我怎么感觉都是我上辈人在知乎。我42，我觉得现代的年轻人就应该是这种想法才对。我就跟我女儿说，以后别提什么彩礼，感觉特别过时，我养你长大是希望你能独立自主，能自由翱翔，能好好感受这世界，知道自己想要的生活。我养你20年这是我的付出，也是我的责任，这不需要任何回报。唯一的回报就是你能过上自己想要的生活。老了也不需要你来赡养，把自己顾好就行。婚姻是这个世界上最难的事情之一，它需要好好经营，它就是两个人的事情，找到能幸福过一生的人真的很难，所以不要再有一些世俗的观念来给它负担。这年轻人我感觉才应该是当代年轻人该有的样子，可看评论觉得回到了旧社会的老农村。	0	1	0
本质是家庭财产分配与金钱利益关系，或者只有索取没有付出，或者是索取与付出严重不对等，不患寡而患不均。之所以网上、社会这么多怨言，是因为很多地方彩礼是有去无回的，社会上又流行男方需要有房有车，也不知道是哪个资本家炒出来的，当今年轻男性普遍压力大，才会衍生出这么多事情。要是大家都过得好，哪会产生这么多矛盾与对立。说白了，终极原因还是资本家的锅、分配问题。个人愚见，不一定对。[doge][吃瓜]	你说的是什么不符合基本国情？是有陪嫁不符合基本国情，还是没有陪嫁不符合基本国情？我们这儿都有陪嫁，甚至双倍，我结婚是时候我爸爸让我选，陪嫁要车还是要房，我觉得我婆婆给彩礼的时候简直乐开了花	0	0	1
emm…这叫做胡搅蛮缠？	人家理性探讨问题，你胡搅蛮缠	0	0	1
就是两个家庭的事和有没有彩礼也没关系，根本不影响主题，抓着一个细枝末节在那怼别人幼稚想借此否认别人的主题，我看你是??透顶	等他老婆和他妈有矛盾的时候就知道了，除非他自己做到和老婆自己住，不让父母参和进来。	0	0	1
距离成功还早	十一万啦，这里就是斯大林格勒吗	1	1	0
吃瓜人表示就是纯属好奇，还有就是看正确操作涨情商[思考]	无论哪个平台，在婚恋和彩礼话题里女的永远是最多的，一边喊着不婚不育，一边又天天往婚恋和彩礼话题里钻，我都不知道她们想干什么？[捂脸]	1	0	0
他可run国外	中国社会你想找到结婚不牵扯两个大家庭的情况凤毛麟角	1	0	1
你哪里看出来急了	急了[惊喜][惊喜][惊喜][惊喜][惊喜][惊喜][惊喜]	0	1	1
我是注定不能万岁了[微笑]因为我现在的对象没有很帅，但我就是挺上头的	hhhh，颜控万岁	1	1	0
哈哈哈哈哈生孩子警告，不是不生孩子吗？有必要结婚吗？不婚不育不是吗，那彩礼跟你们有关系吗？急什么呢	慌了，慌了，小仙女慌了[惊喜]仙女们不是都不结婚的吗，彩礼和你们有啥关系[飙泪笑]	0	0	0
